dtxsid,aver_toxvalmgL,error,species_common,toxval_type,exactMass,molformula,aver_toxval_cm,weight
DTXSID9020295,0.5687914767308826,-0.2,bluegill,LC50stat,127.0188769,C6H6ClN,-1.5350767916604506,2.4224149331700895
DTXSID4020298,1.2530591456700002,0.3792611943426251,bluegill,LC50stat,112.0079779,C6H5Cl,-0.7961898112372664,2.4224149331700895
DTXSID1020306,1.9392537701371113,0.04291985451741738,bluegill,LC50stat,117.9143831,CHCl3,-0.13231301307481946,3.254994260901688
DTXSID0020319,-0.6951475043802227,0.3993350269099587,bluegill,LC50stat,263.8815588,C8Cl4N2,-3.1165565452586956,2.4224149331700895
DTXSID7020346,-0.2794754892569649,0.14645984051240957,bluegill,LC50stat,351.019476,C18H12CuN2O2,-2.8248067028301227,3.254994260901688
DTXSID4020373,-0.7167529084624589,0.2956720299433889,bluegill,LC50stat,317.9536611,C14H10Cl4,-3.2191167385255213,2.729695190827301
DTXSID9020374,-0.2617224320727159,-0.2,bluegill,LC50stat,315.9380111,C14H8Cl4,-2.7613243119122943,2.4224149331700895
DTXSID4020375,-1.6487373832440433,0.2981357573331702,bluegill,LC50stat,351.9146888,C14H9Cl5,-4.195174777762241,2.729695190827301
DTXSID7020425,-0.4360884338254197,-0.2,bluegill,LC50stat,225.9588348,C10H4Cl2O2,-2.7901177603728256,2.4224149331700895
DTXSID6020430,1.158094790966149,0.48307819648285405,bluegill,LC50stat,145.9690055,C6H4Cl2,-1.006165858179115,2.204396120752914
DTXSID1020431,0.8508447744757681,0.1221254858527062,bluegill,LC50stat,145.9690055,C6H4Cl2,-1.313415874669496,3.254994260901688
DTXSID6020438,2.440152932960285,-0.2,bluegill,LC50stat,97.9690055,C2H4Cl2,0.44906423348600627,2.4224149331700895
DTXSID1020439,0.5030303505719302,-0.2,bluegill,LC50stat,161.9639201,C6H4Cl2O,-1.7063879291149329,2.4224149331700895
DTXSID0020448,2.309501093557837,0.04100649896213276,bluegill,LC50stat,111.9846556,C3H6Cl2,0.2603425748589493,3.254994260901688
DTXSID0020523,0.08059916275099052,-0.2,bluegill,LC50stat,184.012021237,C6H4N2O5,-2.184247033010496,2.4224149331700895
DTXSID1020560,-1.8078879352277502,0.24289449157327153,bluegill,LC50stat,403.8168814,C9H6Cl6O3S,-4.414072405718529,2.729695190827301
DTXSID6020561,-2.4197884892227846,0.4267188607554591,bluegill,LC50stat,377.8706311,C12H8Cl6O,-4.997131628171131,2.204396120752914
DTXSID3020596,1.8679406568542094,0.24963342161102078,bluegill,LC50stat,106.078250322,C8H10,-0.1576856909168275,2.729695190827301
DTXSID8020597,3.940472555574587,-0.2,bluegill,LC50stat,62.036779433,C2H6O2,2.147823311738973,2.4224149331700895
DTXSID5020605,1.0835346610095054,-0.2,bluegill,LC50stat,130.1357652,C8H18O,-1.0308620090677851,2.4224149331700895
DTXSID8020620,0.6611034731885657,0.21544521433685465,bluegill,LC50stat,278.020023689,C10H15O3PS2,-1.782972602817541,2.729695190827301
DTXSID3020679,-1.186249011029367,0.07631109886444684,bluegill,LC50stat,369.8210941,C10H5Cl7,-3.7542406901347243,3.254994260901688
